tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Polish Open Warsaw 2002,2002-11-14,KOSTAL Radek,SEREDA Peter,4,0,"11,11,11,11|8,7,6,9",,GRAND_SLAM,MS,1507,Qualification,KOSTAL Radek (CZE),SEREDA Peter (SVK),KOSTAL Radek
Polish Open Warsaw 2002,2002-11-14,WANG Liqin,GORAK Daniel,4,0,"11,13,11,11|9,11,6,9",R64,GRAND_SLAM,MS,1507,Main Draw,WANG Liqin (CHN),GORAK Daniel (POL),WANG Liqin
Polish Open Warsaw 2002,2002-11-14,MA Lin,OLEJNIK Martin,4,3,"11,9,9,11,9,11,11|8,11,11,4,11,6,5",R32,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),OLEJNIK Martin (CZE),MA Lin
Polish Open Warsaw 2002,2002-11-14,STEGER Bastian,SCHLICHTER Jorg,4,1,"11,12,14,5,11|1,10,12,11,9",R32,GRAND_SLAM,MS,1507,Main Draw,STEGER Bastian (GER),SCHLICHTER Jorg (GER),STEGER Bastian
Polish Open Warsaw 2002,2002-11-14,TANG Peng,KOSTAL Radek,4,2,"11,11,7,11,5,11|6,8,11,4,11,4",R32,GRAND_SLAM,MS,1507,Main Draw,TANG Peng (HKG),KOSTAL Radek (CZE),TANG Peng
Polish Open Warsaw 2002,2002-11-14,PAZSY Ferenc,KEEN Trinko,4,3,"7,11,6,7,11,11,11|11,9,11,11,8,7,5",R32,GRAND_SLAM,MS,1507,Main Draw,PAZSY Ferenc (HUN),KEEN Trinko (NED),PAZSY Ferenc
Polish Open Warsaw 2002,2002-11-14,GARDOS Robert,VOZICKY Bohumil,4,0,"12,11,11,13|10,8,8,11",R32,GRAND_SLAM,MS,1507,Main Draw,GARDOS Robert (AUT),VOZICKY Bohumil (CZE),GARDOS Robert
Polish Open Warsaw 2002,2002-11-14,SMIRNOV Alexey,LIVENTSOV Alexey,4,0,"11,11,11,11|7,7,3,6",R32,GRAND_SLAM,MS,1507,Main Draw,SMIRNOV Alexey (RUS),LIVENTSOV Alexey (RUS),SMIRNOV Alexey
Polish Open Warsaw 2002,2002-11-14,FEJER-KONNERTH Zoltan,BLASZCZYK Lucjan,4,2,"11,12,9,11,5,11|9,10,11,9,11,8",R32,GRAND_SLAM,MS,1507,Main Draw,FEJER-KONNERTH Zoltan (GER),BLASZCZYK Lucjan (POL),FEJER-KONNERTH Zoltan
Polish Open Warsaw 2002,2002-11-14,BOLL Timo,WANG Jianfeng,4,0,"11,11,11,11|9,8,8,5",R32,GRAND_SLAM,MS,1507,Main Draw,BOLL Timo (GER),WANG Jianfeng (NOR),BOLL Timo
Polish Open Warsaw 2002,2002-11-14,SCHLAGER Werner,KUSINSKI Marcin,4,0,"12,11,11,11|10,4,8,5",R32,GRAND_SLAM,MS,1507,Main Draw,SCHLAGER Werner (AUT),KUSINSKI Marcin (POL),SCHLAGER Werner
Polish Open Warsaw 2002,2002-11-14,CHEN Weixing,HIELSCHER Lars,4,1,"11,9,11,11,12|3,11,8,3,10",R32,GRAND_SLAM,MS,1507,Main Draw,CHEN Weixing (AUT),HIELSCHER Lars (GER),CHEN Weixing
Polish Open Warsaw 2002,2002-11-14,MAZE Michael,LUNDQVIST Jens,4,2,"11,11,11,11,9,12|7,8,8,13,11,10",R32,GRAND_SLAM,MS,1507,Main Draw,MAZE Michael (DEN),LUNDQVIST Jens (SWE),MAZE Michael
Polish Open Warsaw 2002,2002-11-14,KUZMIN Fedor,KONG Linghui,4,2,"11,5,8,11,11,11|7,11,11,8,2,9",R32,GRAND_SLAM,MS,1507,Main Draw,KUZMIN Fedor (RUS),KONG Linghui (CHN),KUZMIN Fedor
Polish Open Warsaw 2002,2002-11-14,HEISTER Danny,WANG Jianjun,4,1,"11,11,9,11,11|9,3,11,5,7",R32,GRAND_SLAM,MS,1507,Main Draw,HEISTER Danny (NED),WANG Jianjun (CHN),HEISTER Danny
Polish Open Warsaw 2002,2002-11-14,VARIN Eric,QIN Zhijian,4,1,"11,8,11,11,11|6,11,8,1,9",R32,GRAND_SLAM,MS,1507,Main Draw,VARIN Eric (FRA),QIN Zhijian (CHN),VARIN Eric
Polish Open Warsaw 2002,2002-11-14,WOSIK Torben,FETH Stefan,4,2,"12,11,11,11,8,11|14,7,6,8,11,8",R32,GRAND_SLAM,MS,1507,Main Draw,WOSIK Torben (GER),FETH Stefan (GER),WOSIK Torben
Polish Open Warsaw 2002,2002-11-14,WANG Liqin,SHMYREV Maxim,4,0,"11,11,11,13|7,9,8,11",R32,GRAND_SLAM,MS,1507,Main Draw,WANG Liqin (CHN),SHMYREV Maxim (RUS),WANG Liqin
Polish Open Warsaw 2002,2002-11-14,MA Lin,STEGER Bastian,4,0,"11,11,11,11|7,4,9,7",R16,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),STEGER Bastian (GER),MA Lin
Polish Open Warsaw 2002,2002-11-14,TANG Peng,PAZSY Ferenc,4,1,"12,11,11,11,11|14,9,4,8,6",R16,GRAND_SLAM,MS,1507,Main Draw,TANG Peng (HKG),PAZSY Ferenc (HUN),TANG Peng
Polish Open Warsaw 2002,2002-11-14,SMIRNOV Alexey,GARDOS Robert,4,0,"11,11,12,11|7,9,10,7",R16,GRAND_SLAM,MS,1507,Main Draw,SMIRNOV Alexey (RUS),GARDOS Robert (AUT),SMIRNOV Alexey
Polish Open Warsaw 2002,2002-11-14,BOLL Timo,FEJER-KONNERTH Zoltan,4,3,"11,2,11,6,6,11,13|5,11,4,11,11,6,11",R16,GRAND_SLAM,MS,1507,Main Draw,BOLL Timo (GER),FEJER-KONNERTH Zoltan (GER),BOLL Timo
Polish Open Warsaw 2002,2002-11-14,SCHLAGER Werner,CHEN Weixing,4,1,"11,9,11,11,11|8,11,7,7,8",R16,GRAND_SLAM,MS,1507,Main Draw,SCHLAGER Werner (AUT),CHEN Weixing (AUT),SCHLAGER Werner
Polish Open Warsaw 2002,2002-11-14,KUZMIN Fedor,MAZE Michael,4,3,"4,11,11,13,11,9,11|11,8,8,11,13,11,9",R16,GRAND_SLAM,MS,1507,Main Draw,KUZMIN Fedor (RUS),MAZE Michael (DEN),KUZMIN Fedor
Polish Open Warsaw 2002,2002-11-14,HEISTER Danny,VARIN Eric,4,3,"11,11,12,6,11,10,11|4,6,14,11,5,12,8",R16,GRAND_SLAM,MS,1507,Main Draw,HEISTER Danny (NED),VARIN Eric (FRA),HEISTER Danny
Polish Open Warsaw 2002,2002-11-14,WANG Liqin,WOSIK Torben,4,0,"11,11,11,11|7,8,4,4",R16,GRAND_SLAM,MS,1507,Main Draw,WANG Liqin (CHN),WOSIK Torben (GER),WANG Liqin
Polish Open Warsaw 2002,2002-11-14,MA Lin,TANG Peng,4,3,"11,11,5,11,8,13,11|5,8,11,6,11,15,6",QF,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),TANG Peng (HKG),MA Lin
Polish Open Warsaw 2002,2002-11-14,BOLL Timo,SMIRNOV Alexey,4,2,"11,11,12,11,9,11|8,7,14,7,11,6",QF,GRAND_SLAM,MS,1507,Main Draw,BOLL Timo (GER),SMIRNOV Alexey (RUS),BOLL Timo
Polish Open Warsaw 2002,2002-11-14,SCHLAGER Werner,KUZMIN Fedor,4,3,"7,11,8,11,7,11,11|11,9,11,8,11,7,9",QF,GRAND_SLAM,MS,1507,Main Draw,SCHLAGER Werner (AUT),KUZMIN Fedor (RUS),SCHLAGER Werner
Polish Open Warsaw 2002,2002-11-14,WANG Liqin,HEISTER Danny,4,2,"11,8,12,11,11,11|4,11,14,4,6,8",QF,GRAND_SLAM,MS,1507,Main Draw,WANG Liqin (CHN),HEISTER Danny (NED),WANG Liqin
Polish Open Warsaw 2002,2002-11-14,MA Lin,BOLL Timo,4,1,"11,11,11,11,11|7,9,5,13,8",SF,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),BOLL Timo (GER),MA Lin
Polish Open Warsaw 2002,2002-11-14,SCHLAGER Werner,WANG Liqin,4,3,"5,11,11,4,6,12,12|11,4,4,11,11,10,10",SF,GRAND_SLAM,MS,1507,Main Draw,SCHLAGER Werner (AUT),WANG Liqin (CHN),SCHLAGER Werner
Polish Open Warsaw 2002,2002-11-14,MA Lin,SCHLAGER Werner,4,0,"11,11,13,11|9,8,11,9",F,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),SCHLAGER Werner (AUT),MA Lin
Polish Open Warsaw 2002,2002-11-14,CICHOCKA Magdalena,BERGLUND Anna,4,2,"11,3,11,11,10,12|9,11,8,8,12,10",,GRAND_SLAM,WS,1507,Qualification,CICHOCKA Magdalena (POL),BERGLUND Anna (SWE),CICHOCKA Magdalena
Polish Open Warsaw 2002,2002-11-14,KRAVCHENKO Marina,BERGLUND Anna,4,0,"11,11,11,11|6,4,7,9",QR2,GRAND_SLAM,WS,1507,Qualification,KRAVCHENKO Marina (ISR),BERGLUND Anna (SWE),KRAVCHENKO Marina
Polish Open Warsaw 2002,2002-11-14,KRAVCHENKO Marina,CICHOCKA Magdalena,4,2,"11,9,12,12,11,11|5,11,14,10,6,9",3,GRAND_SLAM,WS,1507,Qualification,KRAVCHENKO Marina (ISR),CICHOCKA Magdalena (POL),KRAVCHENKO Marina
Polish Open Warsaw 2002,2002-11-14,SMISTIKOVA Martina,KUSZAJ Iwona,4,2,"11,9,7,12,15,11|6,11,11,10,13,1",,GRAND_SLAM,WS,1507,Qualification,SMISTIKOVA Martina (CZE),KUSZAJ Iwona (POL),SMISTIKOVA Martina
Polish Open Warsaw 2002,2002-11-14,KOSTROMINA Tatyana (1973),KUSZAJ Iwona,4,1,"11,11,11,10,11|8,9,8,12,4",QR2,GRAND_SLAM,WS,1507,Qualification,KOSTROMINA Tatyana (1973) (BLR),KUSZAJ Iwona (POL),KOSTROMINA Tatyana (1973)
Polish Open Warsaw 2002,2002-11-14,KOSTROMINA Tatyana (1973),SMISTIKOVA Martina,4,0,"11,11,11,11|4,5,7,6",3,GRAND_SLAM,WS,1507,Qualification,KOSTROMINA Tatyana (1973) (BLR),SMISTIKOVA Martina (CZE),KOSTROMINA Tatyana (1973)
Polish Open Warsaw 2002,2002-11-14,PIETKIEWICZ Monika,GRUNDISCH Carole,4,2,"11,12,6,9,11,11|6,10,11,11,6,8",,GRAND_SLAM,WS,1507,Qualification,PIETKIEWICZ Monika (POL),GRUNDISCH Carole (FRA),PIETKIEWICZ Monika
Polish Open Warsaw 2002,2002-11-14,LOGATZKAYA Tatyana,GRUNDISCH Carole,4,3,"11,7,11,5,6,11,11|8,11,3,11,11,9,8",QR2,GRAND_SLAM,WS,1507,Qualification,LOGATZKAYA Tatyana (BLR),GRUNDISCH Carole (FRA),LOGATZKAYA Tatyana
Polish Open Warsaw 2002,2002-11-14,LOGATZKAYA Tatyana,PIETKIEWICZ Monika,4,1,"8,11,11,11,11|11,9,4,5,5",3,GRAND_SLAM,WS,1507,Qualification,LOGATZKAYA Tatyana (BLR),PIETKIEWICZ Monika (POL),LOGATZKAYA Tatyana
Polish Open Warsaw 2002,2002-11-14,WIGOW Susanna,PILKA Marta,4,1,"11,11,11,3,11|5,5,8,11,8",,GRAND_SLAM,WS,1507,Qualification,WIGOW Susanna (SWE),PILKA Marta (POL),WIGOW Susanna
Polish Open Warsaw 2002,2002-11-14,PAVLOVICH Veronika,WIGOW Susanna,4,0,"11,11,11,11|5,6,7,5",QR2,GRAND_SLAM,WS,1507,Qualification,PAVLOVICH Veronika (BLR),WIGOW Susanna (SWE),PAVLOVICH Veronika
Polish Open Warsaw 2002,2002-11-14,PAVLOVICH Veronika,PILKA Marta,4,2,"11,5,11,7,11,14|7,11,7,11,4,12",3,GRAND_SLAM,WS,1507,Qualification,PAVLOVICH Veronika (BLR),PILKA Marta (POL),PAVLOVICH Veronika
Polish Open Warsaw 2002,2002-11-14,GOROWSKA Magdalena,CECHOVA Dana,4,1,"11,11,13,10,11|9,2,11,12,6",,GRAND_SLAM,WS,1507,Qualification,GOROWSKA Magdalena (POL),CECHOVA Dana (CZE),GOROWSKA Magdalena
Polish Open Warsaw 2002,2002-11-14,NISHII Miyuki,GOROWSKA Magdalena,3,0,"12,11,11|10,7,8",QR2,GRAND_SLAM,WS,1507,Qualification,NISHII Miyuki (JPN),GOROWSKA Magdalena (POL),NISHII Miyuki
Polish Open Warsaw 2002,2002-11-14,NISHII Miyuki,CECHOVA Dana,4,1,"11,11,13,11,11|9,13,11,8,9",3,GRAND_SLAM,WS,1507,Qualification,NISHII Miyuki (JPN),CECHOVA Dana (CZE),NISHII Miyuki
Polish Open Warsaw 2002,2002-11-14,BOBETIC Andrea,SHABAN Zeina,4,2,"11,11,9,11,12,12|13,8,11,4,10,10",,GRAND_SLAM,WS,1507,Qualification,BOBETIC Andrea (CRO),SHABAN Zeina (JOR),BOBETIC Andrea
Polish Open Warsaw 2002,2002-11-14,GOURIN Anne-Sophie,SHABAN Zeina,4,1,"10,11,11,11,11|12,5,7,6,5",QR2,GRAND_SLAM,WS,1507,Qualification,GOURIN Anne-Sophie (FRA),SHABAN Zeina (JOR),GOURIN Anne-Sophie
Polish Open Warsaw 2002,2002-11-14,GOURIN Anne-Sophie,BOBETIC Andrea,4,0,"11,11,11,11|3,6,7,4",3,GRAND_SLAM,WS,1507,Qualification,GOURIN Anne-Sophie (FRA),BOBETIC Andrea (CRO),GOURIN Anne-Sophie
Polish Open Warsaw 2002,2002-11-14,KASABOVA Asya,HEINE Veronika,4,2,"11,11,16,14,8,11|7,13,14,12,11,4",,GRAND_SLAM,WS,1507,Qualification,KASABOVA Asya (BUL),HEINE Veronika (AUT),KASABOVA Asya
Polish Open Warsaw 2002,2002-11-14,KOVTUN Elena,HEINE Veronika,4,0,"11,11,11,11|7,8,5,4",QR2,GRAND_SLAM,WS,1507,Qualification,KOVTUN Elena (UKR),HEINE Veronika (AUT),KOVTUN Elena
Polish Open Warsaw 2002,2002-11-14,KOVTUN Elena,KASABOVA Asya,4,3,"11,12,5,11,5,8,11|4,10,11,9,11,11,7",3,GRAND_SLAM,WS,1507,Qualification,KOVTUN Elena (UKR),KASABOVA Asya (BUL),KOVTUN Elena
Polish Open Warsaw 2002,2002-11-14,GLADIEUX Elisabeth,KOLAROVA Nina,4,2,"11,11,7,6,11,11|4,2,11,11,6,7",,GRAND_SLAM,WS,1507,Qualification,GLADIEUX Elisabeth (FRA),KOLAROVA Nina (SVK),GLADIEUX Elisabeth
Polish Open Warsaw 2002,2002-11-14,GOBEL Jessica,KOLAROVA Nina,4,1,"7,11,11,11,11|11,9,7,5,8",QR2,GRAND_SLAM,WS,1507,Qualification,GOBEL Jessica (GER),KOLAROVA Nina (SVK),GOBEL Jessica
Polish Open Warsaw 2002,2002-11-14,GOBEL Jessica,GLADIEUX Elisabeth,4,0,"14,11,11,11|12,5,6,9",3,GRAND_SLAM,WS,1507,Qualification,GOBEL Jessica (GER),GLADIEUX Elisabeth (FRA),GOBEL Jessica
Polish Open Warsaw 2002,2002-11-14,MOCROUSOV Elena,PETZNER Martina,4,0,"11,11,11,11|9,5,6,8",,GRAND_SLAM,WS,1507,Qualification,MOCROUSOV Elena (MDA),PETZNER Martina (AUT),MOCROUSOV Elena
Polish Open Warsaw 2002,2002-11-14,MOLNAR Zita,PETZNER Martina,4,0,"11,11,11,11|7,4,5,8",QR2,GRAND_SLAM,WS,1507,Qualification,MOLNAR Zita (HUN),PETZNER Martina (AUT),MOLNAR Zita
Polish Open Warsaw 2002,2002-11-14,MOLNAR Zita,MOCROUSOV Elena,4,0,"11,11,11,11|4,9,3,6",3,GRAND_SLAM,WS,1507,Qualification,MOLNAR Zita (HUN),MOCROUSOV Elena (MDA),MOLNAR Zita
Polish Open Warsaw 2002,2002-11-14,SMETEK Marta,KIRITSA Liudmila,4,3,"11,11,12,5,5,11,14|13,9,10,11,11,6,12",,GRAND_SLAM,WS,1507,Qualification,SMETEK Marta (POL),KIRITSA Liudmila (RUS),SMETEK Marta
Polish Open Warsaw 2002,2002-11-14,KRAMER Tanja,SMETEK Marta,4,1,"11,11,11,10,11|1,2,7,12,5",QR2,GRAND_SLAM,WS,1507,Qualification,KRAMER Tanja (GER),SMETEK Marta (POL),KRAMER Tanja
Polish Open Warsaw 2002,2002-11-14,KRAMER Tanja,KIRITSA Liudmila,4,2,"11,11,13,11,11,13|7,4,15,13,3,11",3,GRAND_SLAM,WS,1507,Qualification,KRAMER Tanja (GER),KIRITSA Liudmila (RUS),KRAMER Tanja
Polish Open Warsaw 2002,2002-11-14,BORZA Valeria,GAJIC Jelena,4,2,"12,11,9,12,7,12|10,8,11,10,11,10",,GRAND_SLAM,WS,1507,Qualification,BORZA Valeria (ROU),GAJIC Jelena (SRB),BORZA Valeria
Polish Open Warsaw 2002,2002-11-14,BORZA Valeria,DERMASTIJA Petra,4,2,"11,11,12,12,3,11|9,9,14,10,11,9",QR2,GRAND_SLAM,WS,1507,Qualification,BORZA Valeria (ROU),DERMASTIJA Petra (SLO),BORZA Valeria
Polish Open Warsaw 2002,2002-11-14,DERMASTIJA Petra,GAJIC Jelena,4,2,"5,11,11,11,11,11|11,8,13,9,7,5",3,GRAND_SLAM,WS,1507,Qualification,DERMASTIJA Petra (SLO),GAJIC Jelena (SRB),DERMASTIJA Petra
Polish Open Warsaw 2002,2002-11-14,ROHR Meike,PASTOR Agata,4,0,"11,11,12,11|9,9,10,9",,GRAND_SLAM,WS,1507,Qualification,ROHR Meike (GER),PASTOR Agata (POL),ROHR Meike
Polish Open Warsaw 2002,2002-11-14,XU Yan,PASTOR Agata,4,1,"12,11,8,11,11|10,9,11,6,8",QR2,GRAND_SLAM,WS,1507,Qualification,XU Yan (SGP),PASTOR Agata (POL),XU Yan
Polish Open Warsaw 2002,2002-11-14,XU Yan,ROHR Meike,4,2,"6,11,11,6,17,11|11,8,3,11,15,7",3,GRAND_SLAM,WS,1507,Qualification,XU Yan (SGP),ROHR Meike (GER),XU Yan
Polish Open Warsaw 2002,2002-11-14,LANG Kristin,JANTA-LIPINSKA Anna,4,3,"11,6,10,11,7,12,11|6,11,12,7,11,10,6",,GRAND_SLAM,WS,1507,Qualification,LANG Kristin (GER),JANTA-LIPINSKA Anna (POL),LANG Kristin
Polish Open Warsaw 2002,2002-11-14,POTA Georgina,JANTA-LIPINSKA Anna,4,0,"15,11,11,11|13,9,7,6",QR2,GRAND_SLAM,WS,1507,Qualification,POTA Georgina (HUN),JANTA-LIPINSKA Anna (POL),POTA Georgina
Polish Open Warsaw 2002,2002-11-14,POTA Georgina,LANG Kristin,4,0,"11,11,11,11|5,9,6,6",3,GRAND_SLAM,WS,1507,Qualification,POTA Georgina (HUN),LANG Kristin (GER),POTA Georgina
Polish Open Warsaw 2002,2002-11-14,WAGGERMAYER Elena,ROHR Gaby,4,1,"14,10,12,12,11|12,12,10,10,5",,GRAND_SLAM,WS,1507,Qualification,WAGGERMAYER Elena (AUT),ROHR Gaby (GER),WAGGERMAYER Elena
Polish Open Warsaw 2002,2002-11-14,MOLNAR Cornelia,WAGGERMAYER Elena,3,0,"11,11,11|9,7,9",QR2,GRAND_SLAM,WS,1507,Qualification,MOLNAR Cornelia (CRO),WAGGERMAYER Elena (AUT),MOLNAR Cornelia
Polish Open Warsaw 2002,2002-11-14,ROHR Gaby,MOLNAR Cornelia,3,2,"11,10,8,11,11|5,12,11,4,7",3,GRAND_SLAM,WS,1507,Qualification,ROHR Gaby (GER),MOLNAR Cornelia (CRO),ROHR Gaby
Polish Open Warsaw 2002,2002-11-14,ZHAO Danni,URBAN Alexandra,4,2,"11,13,8,11,11,11|5,11,11,8,13,7",,GRAND_SLAM,WS,1507,Qualification,ZHAO Danni (SGP),URBAN Alexandra (GER),ZHAO Danni
Polish Open Warsaw 2002,2002-11-14,VACHOVCOVA Alena,ZHAO Danni,4,2,"11,8,11,11,17,11|6,11,13,8,15,3",QR2,GRAND_SLAM,WS,1507,Qualification,VACHOVCOVA Alena (CZE),ZHAO Danni (SGP),VACHOVCOVA Alena
Polish Open Warsaw 2002,2002-11-14,VACHOVCOVA Alena,URBAN Alexandra,4,3,"11,9,7,13,10,11,11|9,11,11,11,12,7,8",3,GRAND_SLAM,WS,1507,Qualification,VACHOVCOVA Alena (CZE),URBAN Alexandra (GER),VACHOVCOVA Alena
Polish Open Warsaw 2002,2002-11-14,SZYMANSKA Antonina,KERTAI Rita,4,3,"11,5,11,9,11,10,13|7,11,8,11,9,12,11",,GRAND_SLAM,WS,1507,Qualification,SZYMANSKA Antonina (POL),KERTAI Rita (HUN),SZYMANSKA Antonina
Polish Open Warsaw 2002,2002-11-14,ROBERTSON Laura,SZYMANSKA Antonina,4,0,"11,11,12,11|6,7,10,3",QR2,GRAND_SLAM,WS,1507,Qualification,ROBERTSON Laura (GER),SZYMANSKA Antonina (POL),ROBERTSON Laura
Polish Open Warsaw 2002,2002-11-14,ROBERTSON Laura,KERTAI Rita,4,3,"8,11,10,9,11,11,11|11,5,12,11,3,5,2",3,GRAND_SLAM,WS,1507,Qualification,ROBERTSON Laura (GER),KERTAI Rita (HUN),ROBERTSON Laura
Polish Open Warsaw 2002,2002-11-14,VACENOVSKA Iveta,KUBRIKOVA Andrea,4,0,"12,11,11,11|10,9,8,7",,GRAND_SLAM,WS,1507,Qualification,VACENOVSKA Iveta (CZE),KUBRIKOVA Andrea (SVK),VACENOVSKA Iveta
Polish Open Warsaw 2002,2002-11-14,GIERYN Katarzyna,OLSSON Marie,4,2,"11,11,6,5,14,12|7,9,11,11,12,10",,GRAND_SLAM,WS,1507,Qualification,GIERYN Katarzyna (POL),OLSSON Marie (SWE),GIERYN Katarzyna
Polish Open Warsaw 2002,2002-11-14,COSTES Agathe,GIERYN Katarzyna,4,1,"11,11,8,11,11|4,5,11,4,7",QR2,GRAND_SLAM,WS,1507,Qualification,COSTES Agathe (FRA),GIERYN Katarzyna (POL),COSTES Agathe
Polish Open Warsaw 2002,2002-11-14,COSTES Agathe,OLSSON Marie,4,0,"11,11,11,11|7,5,3,9",3,GRAND_SLAM,WS,1507,Qualification,COSTES Agathe (FRA),OLSSON Marie (SWE),COSTES Agathe
Polish Open Warsaw 2002,2002-11-14,NORDENBERG Linda,FELIKS Milena,4,0,"11,12,11,11|8,10,8,8",,GRAND_SLAM,WS,1507,Qualification,NORDENBERG Linda (SWE),FELIKS Milena (POL),NORDENBERG Linda
Polish Open Warsaw 2002,2002-11-14,RATHER Jasna,FELIKS Milena,4,1,"9,11,11,11,11|11,4,6,3,4",QR2,GRAND_SLAM,WS,1507,Qualification,RATHER Jasna (USA),FELIKS Milena (POL),RATHER Jasna
Polish Open Warsaw 2002,2002-11-14,RATHER Jasna,NORDENBERG Linda,4,0,"11,11,11,11|9,5,6,7",3,GRAND_SLAM,WS,1507,Qualification,RATHER Jasna (USA),NORDENBERG Linda (SWE),RATHER Jasna
Polish Open Warsaw 2002,2002-11-14,NARKIEWICZ Paulina Joanna,LIVENTSOVA Julia,4,2,"13,13,5,11,11,11|11,11,11,7,13,3",,GRAND_SLAM,WS,1507,Qualification,NARKIEWICZ Paulina Joanna (POL),LIVENTSOVA Julia (RUS),NARKIEWICZ Paulina Joanna
Polish Open Warsaw 2002,2002-11-14,HIRANO Sayaka,LIVENTSOVA Julia,4,3,"11,11,7,8,11,4,12|8,5,11,11,4,11,10",QR2,GRAND_SLAM,WS,1507,Qualification,HIRANO Sayaka (JPN),LIVENTSOVA Julia (RUS),HIRANO Sayaka
Polish Open Warsaw 2002,2002-11-14,HIRANO Sayaka,NARKIEWICZ Paulina Joanna,4,1,"11,11,15,11,11|5,9,17,6,5",3,GRAND_SLAM,WS,1507,Qualification,HIRANO Sayaka (JPN),NARKIEWICZ Paulina Joanna (POL),HIRANO Sayaka
Polish Open Warsaw 2002,2002-11-14,CIGANKOVA Nataliya,SMYKOWSKA Anna,4,0,"11,11,11,11|4,8,8,6",,GRAND_SLAM,WS,1507,Qualification,CIGANKOVA Nataliya (BLR),SMYKOWSKA Anna (POL),CIGANKOVA Nataliya
Polish Open Warsaw 2002,2002-11-14,MIE Anne-Claire,SMYKOWSKA Anna,4,1,"11,13,11,8,11|7,11,9,11,7",QR2,GRAND_SLAM,WS,1507,Qualification,MIE Anne-Claire (FRA),SMYKOWSKA Anna (POL),MIE Anne-Claire
Polish Open Warsaw 2002,2002-11-14,MIE Anne-Claire,CIGANKOVA Nataliya,4,1,"11,11,7,11,11|9,4,11,6,9",3,GRAND_SLAM,WS,1507,Qualification,MIE Anne-Claire (FRA),CIGANKOVA Nataliya (BLR),MIE Anne-Claire
Polish Open Warsaw 2002,2002-11-14,REGENWETTER Peggy,HALAS Helena,4,3,"3,11,11,4,7,11,11|11,2,8,11,11,7,9",3,GRAND_SLAM,WS,1507,Qualification,REGENWETTER Peggy (LUX),HALAS Helena (SLO),REGENWETTER Peggy
Polish Open Warsaw 2002,2002-11-14,KRAWCZYK Renata,TODOROVIC Biljana,4,3,"11,10,7,7,11,11,11|9,12,11,11,5,8,6",,GRAND_SLAM,WS,1507,Qualification,KRAWCZYK Renata (POL),TODOROVIC Biljana (SLO),KRAWCZYK Renata
Polish Open Warsaw 2002,2002-11-14,KRAWCZYK Renata,IVANCAN Irene,4,0,"11,11,11,11|2,3,4,9",QR2,GRAND_SLAM,WS,1507,Qualification,KRAWCZYK Renata (POL),IVANCAN Irene (GER),KRAWCZYK Renata
Polish Open Warsaw 2002,2002-11-14,TODOROVIC Biljana,IVANCAN Irene,4,1,"11,11,9,11,11|4,5,11,9,5",3,GRAND_SLAM,WS,1507,Qualification,TODOROVIC Biljana (SLO),IVANCAN Irene (GER),TODOROVIC Biljana
Polish Open Warsaw 2002,2002-11-14,ZHANG Yining,CICHOCKA Magdalena,4,0,"11,12,11,11|6,10,4,5",R64,GRAND_SLAM,WS,1507,Main Draw,ZHANG Yining (CHN),CICHOCKA Magdalena (POL),ZHANG Yining
Polish Open Warsaw 2002,2002-11-14,KOSTROMINA Tatyana (1973),VACHOVCOVA Alena,4,1,"11,11,11,7,11|3,8,9,11,8",R64,GRAND_SLAM,WS,1507,Main Draw,KOSTROMINA Tatyana (1973) (BLR),VACHOVCOVA Alena (CZE),KOSTROMINA Tatyana (1973)
Polish Open Warsaw 2002,2002-11-14,KRAMER Tanja,PASKAUSKIENE Ruta,4,1,"11,9,12,11,11|6,11,10,5,6",R64,GRAND_SLAM,WS,1507,Main Draw,KRAMER Tanja (GER),PASKAUSKIENE Ruta (LTU),KRAMER Tanja
Polish Open Warsaw 2002,2002-11-14,FUJINUMA Ai,XU Yan,4,1,"6,11,11,13,11|11,8,9,11,6",R64,GRAND_SLAM,WS,1507,Main Draw,FUJINUMA Ai (JPN),XU Yan (SGP),FUJINUMA Ai
Polish Open Warsaw 2002,2002-11-14,STRUSE Nicole,GOURIN Anne-Sophie,4,2,"11,11,13,9,11,11|7,8,15,11,2,8",R64,GRAND_SLAM,WS,1507,Main Draw,STRUSE Nicole (GER),GOURIN Anne-Sophie (FRA),STRUSE Nicole
Polish Open Warsaw 2002,2002-11-14,LI Xiaoxia,GOBEL Jessica,4,2,"11,7,11,10,11,11|9,11,5,12,5,8",R64,GRAND_SLAM,WS,1507,Main Draw,LI Xiaoxia (CHN),GOBEL Jessica (GER),LI Xiaoxia
Polish Open Warsaw 2002,2002-11-14,SCHALL Elke,REGENWETTER Peggy,4,2,"7,13,11,8,11,11|11,11,7,11,2,9",R64,GRAND_SLAM,WS,1507,Main Draw,SCHALL Elke (GER),REGENWETTER Peggy (LUX),SCHALL Elke
